Article,Headline,is_sarcasm
https://www.facebook.com/nghjchnguyen?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Phương Dung,1
https://www.facebook.com/profile.php?id=100007052643701&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-]C%2CP-R,Thuận Nguyễn,1
https://www.facebook.com/profile.php?id=100007015174614&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-]C%2CP-R,Danh Nguyễn,1
https://www.facebook.com/huynhtrang30?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=R]-R,Huỳnh Thị Thùy Trang,1
https://www.facebook.com/namgioihiendai2018/?__cft__[0]=AZWSnTeHX2lcvg9tvfTPfOulfdp86LZwWpaJ710hY0QibO0hnBxd-lRAw11-y-TDLg860dNGXjLSS7BipPlkBkqrb43U8DeT7dbDGI2z78v4s-c6ihxhzRZKr92G8QwN-RvNBwufHKNn9X8W5X3XY8ChyDsUHHCbdKNOzamhbUggvieRicHCulL6GqH6PG_3YbAsyWt4FkBHZ7UFP0uKCpKQ&__tn__=-UC%2CP-R,Nam giới hiện đại,1
https://www.facebook.com/daihocfunix/?__cft__[0]=AZWEI2SQyAOI9DZuv6M-3f-msN231_cpMi1FESrbobS6k6xgLqeyYXWTnGvMbJgk7oI2FIeLRL_tqqcGqiXbqOa7de_HRquLMmtFAWUimYxRQtPGDdk3PiJ2RTCrACEbQ_IJMkZ6ZgkJp3Phie6DL2sTHaAfbuAJHiTOfCRmhaJ1zBynVrhWlLKzUI9zE_jeUZafFDIBJxyDeZhLpakXYoTaUPb7w8A8px5LZCl1Dd0GSsQ3V_CHRu_AKv-umgZyCRBlBnud1JuBeT5FfCC9ljb2WdShDtQeMg5i4cpEllRmR_jTnXvkajk2_IQLGASkPIk&__tn__=-UC%2CP-R,Đại học trực tuyến kiểu FUNiX,1
https://www.facebook.com/hashtag/funix?__eep__=6&__cft__[0]=AZWEI2SQyAOI9DZuv6M-3f-msN231_cpMi1FESrbobS6k6xgLqeyYXWTnGvMbJgk7oI2FIeLRL_tqqcGqiXbqOa7de_HRquLMmtFAWUimYxRQtPGDdk3PiJ2RTCrACEbQ_IJMkZ6ZgkJp3Phie6DL2sTHaAfbuAJHiTOfCRmhaJ1zBynVrhWlLKzUI9zE_jeUZafFDIBJxyDeZhLpakXYoTaUPb7w8A8px5LZCl1Dd0GSsQ3V_CHRu_AKv-umgZyCRBlBnud1JuBeT5FfCC9ljb2WdShDtQeMg5i4cpEllRmR_jTnXvkajk2_IQLGASkPIk&__tn__=*NK-R,#FUNiX,1
https://www.facebook.com/AwakePower/?__cft__[0]=AZUeda0SePaWoxwXrs185DH0lBpf0WsiLYlJf8JOj9QJbLJNa8rAHfogTWNrR_NcYeBi1BqUUXxbOiJfFpQVv7gXP_Oy2HIKSj4iLOYdnkc6MOBxS44dejCfDU1fFqyUJzcdNIiyjNdMUw0zulFRXsQ7LckBw0PIOeZTc8TA0b1dVg28JFbcNAndbJFUJINNwXM&__tn__=kC%2CP-R,Awake Your Power,1
https://www.facebook.com/dien.le.33046736?__cft__[0]=AZUeda0SePaWoxwXrs185DH0lBpf0WsiLYlJf8JOj9QJbLJNa8rAHfogTWNrR_NcYeBi1BqUUXxbOiJfFpQVv7gXP_Oy2HIKSj4iLOYdnkc6MOBxS44dejCfDU1fFqyUJzcdNIiyjNdMUw0zulFRXsQ7LckBw0PIOeZTc8TA0b1dVg28JFbcNAndbJFUJINNwXM&__tn__=-]C%2CP-R,Diên Lệ,1
https://www.facebook.com/hashtag/1phutsuyngam?__eep__=6&__cft__[0]=AZUeda0SePaWoxwXrs185DH0lBpf0WsiLYlJf8JOj9QJbLJNa8rAHfogTWNrR_NcYeBi1BqUUXxbOiJfFpQVv7gXP_Oy2HIKSj4iLOYdnkc6MOBxS44dejCfDU1fFqyUJzcdNIiyjNdMUw0zulFRXsQ7LckBw0PIOeZTc8TA0b1dVg28JFbcNAndbJFUJINNwXM&__tn__=*NK-R,#1phutsuyngam,1
https://www.facebook.com/hashtag/adchinhlatheo?__eep__=6&__cft__[0]=AZUeda0SePaWoxwXrs185DH0lBpf0WsiLYlJf8JOj9QJbLJNa8rAHfogTWNrR_NcYeBi1BqUUXxbOiJfFpQVv7gXP_Oy2HIKSj4iLOYdnkc6MOBxS44dejCfDU1fFqyUJzcdNIiyjNdMUw0zulFRXsQ7LckBw0PIOeZTc8TA0b1dVg28JFbcNAndbJFUJINNwXM&__tn__=*NK-R,#adchinhlatheo,1
https://www.facebook.com/hashtag/awakeyourpower?__eep__=6&__cft__[0]=AZUeda0SePaWoxwXrs185DH0lBpf0WsiLYlJf8JOj9QJbLJNa8rAHfogTWNrR_NcYeBi1BqUUXxbOiJfFpQVv7gXP_Oy2HIKSj4iLOYdnkc6MOBxS44dejCfDU1fFqyUJzcdNIiyjNdMUw0zulFRXsQ7LckBw0PIOeZTc8TA0b1dVg28JFbcNAndbJFUJINNwXM&__tn__=*NK-R,#awakeyourpower,1
https://www.facebook.com/namgioihiendai2018/?__cft__[0]=AZW2URu3sy0XTRxfRu8-2K5qdHTpuP4CR1IWsUXFzZPlcXwqXpY2bfz_1ezJUhZKxmqpiQRVFCdz8yaAAfAn7QqAKBTncDGkAynuqEsR5T0H_7xjUPtPoZ2ccHbqV2aakclvWEcX9kKLqG6QKZCg3spxy9zrta9mj2gc4Gs_ajTxkm91g7C7dX_DE1RMg2G_1oIKIF74JXmTOsqf9b3hUHDX&__tn__=-UC%2CP-R,Nam giới hiện đại,1
https://www.facebook.com/nguyenthiquynhhh?__cft__[0]=AZVrxG_ZbV4wmGmqw4lGXejIrjraKJ-ZvwcHEJvKvFQpxXiXsx1c6O_9dDsnpgXGQIqpo6W3_a2Tdf3-pcQudqls8w9oS_XhKrLS2bzGN2_J1nCw57ZwnEc56Wwq27zRQ7lQo0GQ84xsyl7GRQ_yYAgmoca4LxTCTuhr1jt9CDiMUmLvEi2X2b1Qi_SAkWxYpbk&__tn__=-UC%2CP-R,Nguyễn Thị Quỳnh,1
https://www.facebook.com/annguyen962000?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,An Nguyen,1
https://www.facebook.com/nguoinhachugun?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Nguyễn Gia Hân,1
https://www.facebook.com/profile.php?id=100007496356670&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Hoàn Hảo,1
https://www.facebook.com/profile.php?id=100041642619843&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Tạ Toàn,1
https://www.facebook.com/profile.php?id=100008651472400&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Hoàng Vũ,1
https://www.facebook.com/huynhtrang30?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Huỳnh Thị Thùy Trang,1
https://www.facebook.com/dieuken?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Ba Điều,1
https://www.facebook.com/phung.ha.790?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Phụng Hà,1
https://www.facebook.com/dathappy123456?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Thành Đạt,1
https://www.facebook.com/profile.php?id=100008897797693&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Bảo Khang,1
https://www.facebook.com/nguyentam512?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Nguyễn Tâm,1
https://www.facebook.com/taurus.vo.501?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Võ Nguyễn Kiều Duyên,1
https://www.facebook.com/son.alixis?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Sơn Alixis,1
https://www.facebook.com/Piothanhtung?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Lê Thanh Tùng,1
https://www.facebook.com/itislee99?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Công Thanh,1
https://www.facebook.com/profile.php?id=100030754501187&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Mỹ Lan,1
https://www.facebook.com/profile.php?id=100040451380363&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Võ Tân,1
https://www.facebook.com/profile.php?id=100006278473071&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Nguyễn T. Đoan,1
https://www.facebook.com/profile.php?id=100007015174614&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Danh Nguyễn,1
https://www.facebook.com/kimkha.pt?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Trần Kim Kha,1
https://www.facebook.com/nguyenphuc.sang.940?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Nguyễn Phúc Sang,1
https://www.facebook.com/profile.php?id=100049194135975&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Lan Anh,1
https://www.facebook.com/profile.php?id=100048192009696&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Nguyễn Sang,1
https://www.facebook.com/profile.php?id=100045238142419&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Vũ Thị Tuyết Nhung,1
https://www.facebook.com/profile.php?id=100043762472218&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Hoàng Vũ,1
https://www.facebook.com/profile.php?id=100041470028452&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Heo Heo,1
https://www.facebook.com/profile.php?id=100041098653491&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Hoàng Minh,1
https://www.facebook.com/dai.man.543?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Man Quốc Đạt,1
https://www.facebook.com/profile.php?id=100034934303732&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Tam Nguyen,1
https://www.facebook.com/nguyenkhanh.duy.756859?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Nguyễn Khánh Duy,1
https://www.facebook.com/profile.php?id=100030278984519&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Trần Linh,1
https://www.facebook.com/senle0912?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Sen Lê,1
https://www.facebook.com/thormap1211?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Thế Vinh,1
https://www.facebook.com/profile.php?id=100028427585399&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Nguyễn Khoa,1
https://www.facebook.com/profile.php?id=100027894556181&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Đô Thi Huê,1
https://www.facebook.com/profile.php?id=100026460009213&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Bùi Hữu Đức,1
